,tweet,calculated_sentiment,index,date,userID,airline,text,sentiment
2368,whistleblower reveals biden vote factory nevada via patriot news,1,4189,11/16/2020 13:21,1.33e+18,United,Whistleblower Reveals a Biden Vote Factory in Nevada https://t.co/8z8CRhaC1h via @United Patriot News,0
2369,jfk lax sfo market going see even heavier competition returns feb heres,0,4190,11/16/2020 13:14,1.33e+18,United,The JFK to LAX and SFO market is going to see even heavier competition once @united returns in Feb. Here's why it m… https://t.co/3zRYCwtrPk,0
2370,thank,-1,4191,11/16/2020 13:13,1.33e+18,United,@BDY60614 @united @flightradar24 Thank you!,0
2371,sorry nina scum bags everywhere,-1,4193,11/16/2020 12:51,1.33e+18,United,"@BeautifulNinaxo @united So sorry to here that Nina, scum bags everywhere you go😔",0
2372,currently unable checkin kindly advise,0,4194,11/16/2020 12:48,1.33e+18,United,@united : I am currently in the UK and am unable to check-in. Kindly advise.,0
2373,said adventures minigolf would attention,1,4195,11/16/2020 12:43,1.33e+18,United,@Skratch @erikanderslang @united Now if it had said adventures in MINIGOLF then you would have had my attention,0
2374,red eye sfo newark last tuesday packed seats free temperature che,0,4196,11/16/2020 12:42,1.33e+18,United,@rwang0 @TSA @flySFO @united Red eye from sfo to Newark last Tuesday was packed. No seats free.  No temperature che… https://t.co/BVAiiGUUgN,0
2375,recent things ive written examining recent accessibility improvements mobile app,-1,4197,11/16/2020 12:40,1.33e+18,United,"Recent things I’ve written:
🛫 Examining recent accessibility improvements to @United’s mobile app for @RunwayGirl:… https://t.co/bGoH5M3iAM",0
2376,summer toronto canada cancun mexico cad roundtrip travel jansep dates,0,4199,11/16/2020 12:36,1.33e+18,United,"SUMMER: #Toronto, Canada to Cancun, Mexico for only $270 CAD roundtrip with @United #Travel (Jan-Sep dates)… https://t.co/FTZbbCihGM",0
2377,msn nua join fly bosnia fleet,1,4200,11/16/2020 12:31,1.33e+18,United,".@airbus A320 MSN 487 (ex. @united N419UA) will join Fly Bosnia fleet. 

@EXYUaviation",0
2378,aggressive flight attendants demanding customers put mask even though,-1,4201,11/16/2020 12:08,1.33e+18,United,@united oh and then you have aggressive flight attendants demanding customers to put mask on even though they are e… https://t.co/0frxh5G1Su,0
2379,good morning perfect day fly friendly skies steeler win steelernation pittsburgh,1,4203,11/16/2020 11:52,1.33e+18,United,Good morning. Perfect day to fly the friendly skies!  After a Steeler win #SteelerNation @united #Pittsburgh https://t.co/tJxyVjpuC9,0
2380,airport food open miles gate serves cup water flight,-1,4204,11/16/2020 11:47,1.33e+18,United,When the airport food is not open or is miles from a gate + @united only serves a cup of water on a 2hr flight + yo… https://t.co/v8B4HrF0H3,0
2381,highly disappointed unwilling refund full tickets family young kids keeping,-1,4206,11/16/2020 11:24,1.33e+18,United,Highly disappointed at @United  unwilling to refund in full tickets to a family with young kids and keeping for the… https://t.co/OIPuIEfNpm,0
2382,customer cleanliness sanitation continues priority gat last week attended,-1,4208,11/16/2020 11:00,1.33e+18,United,"Customer cleanliness and sanitation continues to be a priority for both @united  and #GAT. Last week, we attended o… https://t.co/KMECwAZVH3",0
2383,twenty years ago today airlines flight bound los angeles amp first trip america akl via,-1,4209,11/16/2020 10:36,1.33e+18,United,Twenty years ago today I was on a @united airlines flight bound for Los Angeles &amp; my first trip to America. AKL via… https://t.co/WXM6ogufzG,0
2384,skillsinaction team busy getting active way greater torontos get upcommunity cam,-1,4214,11/16/2020 10:12,1.33e+18,United,Our SkillsInAction team has been busy getting up and active for @United Way Greater Toronto's Get #Up4Community cam… https://t.co/qIJdI4voir,0
2385,god bless heart,1,4215,11/16/2020 9:28,1.33e+18,United,@united God bless your heart,0
2386,flight got canceled agent doesnt want help return flight,-1,4217,11/16/2020 8:34,1.33e+18,United,@united my flight got canceled and the agent doesn't want to help me with my return flight.,0
2387,sounds like getting fix enjoy welcome back,1,4219,11/16/2020 7:46,1.33e+18,United,@rwang0 @Boeing @united @flySFO Sounds like you are getting your fix once again. Enjoy and welcome back!,0
2388,safe travels,1,4220,11/16/2020 7:45,1.33e+18,United,@rwang0 @united Safe travels !,0
2389,please give update happened people flight ewrsfo dying know,-1,4221,11/16/2020 7:19,1.33e+18,United,@united please give us an update on what happened to the 2 people on flight 741 EWR-SFO on 11/15 I’m dying to know,0
2390,using total system disinfect terminals airlines busiest airports,-1,4222,11/16/2020 7:00,1.33e+18,United,.@united is now using the @Clorox Total 360® System to disinfect terminals at 35 of the airline’s busiest airports.… https://t.co/S0ziKpTkRX,0
2391,airlines favorite show watch list went home watching one,1,4224,11/16/2020 6:24,1.33e+18,United,When @united airlines has your favorite TV show on their watch list 😍 went home while watching @joshuagates . One o… https://t.co/i86Qcw5bC8,0
2392,sorry happened,-1,4225,11/16/2020 6:08,1.33e+18,United,@BeautifulNinaxo @united So sorry! This has happened to me before,0
2393,way convenient fact people,-1,4226,11/16/2020 6:00,1.33e+18,United,"@andrewmichta @united @NanHayworth @SlawomirDebski @MZHemingway It is way more convenient in fact. No people, no wa… https://t.co/X4i9K7A4dJ",0
2394,kind already knew answer question seen bring team actually,-1,4227,11/16/2020 5:57,1.33e+18,United,"i kind of already knew the answer to my question (i’d seen the @united B777 bring in the team), but it was actually… https://t.co/mGbWYjFl9C",0
2395,wow even drop sweat well done,1,4228,11/16/2020 5:54,1.33e+18,United,"@BCusterTV @united Wow, not even a drop of sweat. Well done @BCusterTV 😅",0
2396,thanks heads deleted tweet report reposted tweet without sensitive,-1,4229,11/16/2020 5:49,1.33e+18,United,@united Thanks for the heads up - I deleted the tweet w/ the report ID and reposted the tweet without the sensitive… https://t.co/gwJGxW76Nt,0
2397,united,-1,4232,11/16/2020 5:31,1.33e+18,United,@united Hi United,0
2398,source screengrabs directly embassy,-1,4233,11/16/2020 5:31,1.33e+18,United,"@united source for screengrabs, all directly from the embassy
https://t.co/bpLZB52EXN
https://t.co/tFrjgolaJ6… https://t.co/l0cTJ4hTfh",0
2399,obviously cautious contact chinese embassy get policy aligned,0,4234,11/16/2020 5:29,1.33e+18,United,"Obviously @united is being cautious, but they should contact the Chinese Embassy to get the policy aligned. This di… https://t.co/FnztpN5kLa",0
2400,frustrating depressing adhere strict embassy rules get approved get denied stric,-1,4235,11/16/2020 5:29,1.33e+18,United,"Very frustrating and depressing to adhere to the strict embassy rules, get approved, but then get denied by a stric… https://t.co/TU0CBGRzSZ",0
2401,contacted dms said teams investigate hopefully true also said rule,-1,4236,11/16/2020 5:29,1.33e+18,United,"Contacted @united through DMs, and they said teams will investigate (hopefully true), but also said their rule is s… https://t.co/uswymoDCAl",0
2402,thing chinese embassy communication airlines guidance explicitly says even mandatory,-1,4237,11/16/2020 5:29,1.33e+18,United,"@united Thing is Chinese Embassy ""communication to airlines"" guidance explicitly says it's not even mandatory for g… https://t.co/nxtlNlvllA",0
2403,gate agents checking covid tests within hours sfo flight implemented system wide due,-1,4238,11/16/2020 5:28,1.33e+18,United,"@united Gate agents are checking COVID tests to be within 48 hours of SFO flight, implemented system wide due to or… https://t.co/Opzs0YrMlh",0
2404,psa china flights require stricter covid test timeframe embassy requires get health,0,4239,11/16/2020 5:27,1.33e+18,United,PSA @united China flights require stricter Covid test timeframe than what the Embassy requires to get the Health De… https://t.co/dbGBmPvc2a,0
2405,love job since son passed end last year saw still,0,4240,11/16/2020 5:23,1.33e+18,United,I love my job. @united has been there for me since my son passed at the end of last year. Saw that this is still ha… https://t.co/VmbZdcnRie,0
2406,flew hnl sfo tonight flight accidentally left ipad pro behind front seat,0,4244,11/16/2020 5:15,1.33e+18,United,@united I flew from HNL to SFO tonight on Flight UA 372 and accidentally left my iPad Pro behind in the front seat… https://t.co/gXepaiF8iW,0
2407,soo sorry thats horrendous,-1,4245,11/16/2020 5:08,1.33e+18,United,@BeautifulNinaxo @united I’m soo sorry that’s horrendous!!!,0
2408,welcome sweetheart hope meet soon sweetheart recovering surge,1,4247,11/16/2020 4:51,1.33e+18,United,@BeautifulNinaxo @united You are very welcome sweetheart I hope to meet you soon sweetheart 😘 recovering from surge… https://t.co/Kk7U3ZXu5E,0
2409,flying denver visual treat,-1,4249,11/16/2020 4:42,1.33e+18,United,"Flying into #Denver with @united was a visual treat.
 @Colorado https://t.co/w6jjSCCIPQ",0
2410,flight times changed get refund cancel first flight refund cancel return fli,-1,4251,11/16/2020 4:24,1.33e+18,United,"My @united flight is $680, times changed so I can get a refund. Cancel first flight, $270 refund. Cancel return fli… https://t.co/pqiqViDne7",0
2411,ron sucks,-1,4252,11/16/2020 4:11,1.33e+18,United,@SouthBeachDad @RiverboatRonHC @WashingtonNFL @united @CollegeHunks ron sucks,0
2412,retire,-1,4253,11/16/2020 4:10,1.33e+18,United,@RiverboatRonHC @united Retire,0
2413,,-1,4254,11/16/2020 4:09,1.33e+18,United,@rwang0 @Boeing @united @flySFO It has been a while...,0
2414,need help find missing item checkedin bag unable submit baggage claim form prov,-1,4255,11/16/2020 4:05,1.33e+18,United,@united I need help to find missing item from checked-in bag. I’m unable to submit baggage claim form with the prov… https://t.co/dCRWe3xqA4,0
2415,always brave strangely miss flights,-1,4257,11/16/2020 3:58,1.33e+18,United,@rwang0 @united You have always been brave:) strangely I miss the flights!,0
2416,problem able get ahold someone phone supervisor helpful,-1,4258,11/16/2020 3:58,1.33e+18,United,@united No problem. I was able to get ahold of someone on the phone and she and her supervisor were very helpful in… https://t.co/VCM1EEckKg,0
2417,youre gay fuck,-1,4259,11/16/2020 3:54,1.33e+18,United,"You're all gay as fuck:

@SouthwestAir 
@AmericanAir 
@Delta 
@FlyFrontier 
@united 
@JetBlue 
@Allegiant",0
2418,omg horrible sorry,-1,4261,11/16/2020 3:45,1.33e+18,United,"@BeautifulNinaxo @united Omg, this is horrible, I’m so sorry!",0
2419,great customer service delayed hours agent lets board deplanes says,-1,4263,11/16/2020 3:37,1.33e+18,United,@united Great Customer Service! Delayed for 2+ hours agent let’s us board and then deplanes us and says that the is… https://t.co/i54yyhuhAs,0
2420,long werent dragged saying,-1,4264,11/16/2020 3:31,1.33e+18,United,@millenaxo4 @united As long as you weren't dragged off i'm saying it was ok,0
2421,booked flight holidays next month noticed none family sitting together,-1,4265,11/16/2020 3:24,1.33e+18,United,@united I booked a flight for the holidays next month but noticed that that none of my family is sitting together a… https://t.co/TICfEPYzsj,0
2422,flight experience today kept mask nose majority flight,-1,4267,11/16/2020 3:19,1.33e+18,United,This was my @united flight experience today. He kept his mask off or under his nose a majority of the flight. After… https://t.co/ed2US8dMW6,0
2423,three blaring election oddities nobody deny via patriot news,0,4268,11/16/2020 3:15,1.33e+18,United,Three Blaring Election Oddities that Nobody Can Deny https://t.co/wwW3r6NiBC via @United Patriot News,0
2424,half way ringing bell thanks setting great example fighting good fight,1,4269,11/16/2020 3:13,1.33e+18,United,@RiverboatRonHC @united I’m half way to ringing my bell. Thanks for setting a great example for all of us who are fighting the good fight.,0
2425,antisemitism last flight disgusting someone problem would love speak somebody,-1,4271,11/16/2020 3:07,1.33e+18,United,@united The anti-Semitism on my last flight was disgusting if someone can DM me about the problem I would love to speak to somebody,0
2426,thats awful sorry hear able file claim thru homeowners ins renters ins,-1,4273,11/16/2020 2:59,1.33e+18,United,@BeautifulNinaxo @united That’s awful. So sorry to hear that. U should be able to file a claim thru homeowners ins (renters ins),0
2427,give idea things want,-1,4274,11/16/2020 2:54,1.33e+18,United,@BeautifulNinaxo @united Just give me an idea of the things you want,0
2428,safe travels,1,4275,11/16/2020 2:52,1.33e+18,United,@rwang0 @Boeing @united @flySFO Safe travels !,0
2429,thats,-1,4277,11/16/2020 2:49,1.33e+18,United,@BeautifulNinaxo @united That’s fd up,0
2430,dont think replace definitely could replace,-1,4278,11/16/2020 2:46,1.33e+18,United,@BeautifulNinaxo @united I don't think I can replace them all but I definitely could replace them,0
2431,fuck airlines entire block preferred class empty meanwhile packed like fucking sard,-1,4279,11/16/2020 2:46,1.33e+18,United,"Yo, fuck @united airlines. The entire block of “preferred” class is empty, meanwhile we’re packed like fucking sard… https://t.co/NqWcTQKh18",0
2432,fauci advices people travel dont think delta thieves mind,-1,4280,11/16/2020 2:46,1.33e+18,United,@BeautifulNinaxo @united Dr Fauci advices people not to travel. I don’t think he had Delta thieves in mind,0
2433,flight landing high winds behind squall line pro level,-1,4281,11/16/2020 2:45,1.33e+18,United,🙌🙌 👏🏽 👏🏽 👏🏽 @United Flight 2491 landing in high winds behind squall line. Pro level 💯. https://t.co/eP9KfGVqe8,0
2434,schumer power crazed reveals dems true intentions via patriot news,1,4283,11/16/2020 2:44,1.33e+18,United,"Schumer is Now Power Crazed, Reveals Dems True Intentions https://t.co/NAtk6XugOp via @United Patriot News",0
2435,yes gathering receipts filing online claim tomorrow hope something comes,-1,4284,11/16/2020 2:41,1.33e+18,United,"@united Yes, gathering my receipts and will be filing an online claim tomorrow. Just hope something comes out of it.",0
2436,wow,-1,4286,11/16/2020 2:40,1.33e+18,United,@69_sidster @united Oh wow!,0
2437,aww thank much,1,4287,11/16/2020 2:40,1.33e+18,United,@barth52166 @united Aww thank you so much ❤️,0
2438,,-1,4288,11/16/2020 2:39,1.33e+18,United,@BeautifulNinaxo @united Oh no 😭,0
2439,bag looks like dudes face flight beat,-1,4290,11/16/2020 2:38,1.33e+18,United,@michellesokk @united @SouthwestAir Bag looks like that dude's face from their flight on 2017 where they beat the g… https://t.co/MSpmHHOMoN,0
2440,pleasure miss guys,1,4291,11/16/2020 2:34,1.33e+18,United,@coach_sally @Russellmania621 @lennybrooks444 @EddieMacina @united What a pleasure!  We miss you guys!,0
2441,still three different people forty whole minutes unacceptable claiming,-1,4292,11/16/2020 2:33,1.33e+18,United,"@united UA 2491. But still three different people, for forty whole minutes that is unacceptable as you are claiming… https://t.co/Xzy0S9iS2J",0
2442,thanks honor pleasure,1,4293,11/16/2020 2:32,1.33e+18,United,@Russellmania621 @lennybrooks444 @lauraflygirl @EddieMacina @united Thanks @Russellmania621. It was an honor and a pleasure.,0
2443,wondering still score drink neglected coupons,-1,4294,11/16/2020 2:30,1.33e+18,United,Yo @united wondering if I can still score a drink with these neglected coupons. https://t.co/vgIlhSCIN9,0
2444,tough losstough travel dont recall ever happening six years traveledprobably,-1,4295,11/16/2020 2:30,1.33e+18,United,Tough loss...tough travel. I don't recall this ever happening in the six years I traveled...Probably because… https://t.co/Cp5vIQbfLJ,0
2445,forty minutes finally noticed told put back three different attenda,-1,4296,11/16/2020 2:30,1.33e+18,United,After forty minutes they finally noticed him and told him to put it back on. That was after three different attenda… https://t.co/wm9vVUQDG7,0
2446,remember last time stuck alaskan airflight reason four hours,-1,4298,11/16/2020 2:26,1.33e+18,United,@likely_sophie @united I remember the last time the stuck me on an Alaskan airflight for some reason. Four hours of… https://t.co/3UOHUdFF1L,0
2447,happened international flight wifes expensive coat checked onboar,-1,4299,11/16/2020 2:22,1.33e+18,United,@BeautifulNinaxo @united This happened on a International flight with my wife’s expensive coat we checked in onboar… https://t.co/4ni5uPxgE9,0
2448,god thats disgusting would love help replace,-1,4300,11/16/2020 2:19,1.33e+18,United,@BeautifulNinaxo @united Oh my God that's disgusting I would love to help you replace them,0
2449,three blaring election oddities nobody deny via patriot news,0,4302,11/16/2020 2:13,1.33e+18,United,Three Blaring Election Oddities that Nobody Can Deny https://t.co/u8pCC9lK8X via @United Patriot News,0
2450,please tell youre considering extending international flight refund deadline,-1,4304,11/16/2020 2:03,1.33e+18,United,@ACSTokyo @united Please tell me you're considering extending the international flight refund deadline. I have a fl… https://t.co/oejtsxKJEa,0
2451,summer edmonton canada cancun mexico cad roundtrip travel feboct dates,0,4305,11/16/2020 2:03,1.33e+18,United,"SUMMER: #Edmonton, Canada to Cancun, Mexico for only $275 CAD roundtrip with @United #Travel (Feb-Oct dates)… https://t.co/FqJX9nVvQW",0
2452,want hunt sweetheart security guard fedex hub wil,1,4307,11/16/2020 1:58,1.33e+18,United,@BeautifulNinaxo @united Do you want me to hunt it down for you sweetheart I am a security Guard at FedEx hub I wil… https://t.co/WrnEwpVF3b,0
2453,file complaint united,-1,4309,11/16/2020 1:56,1.33e+18,United,@BeautifulNinaxo @united You file a complaint with United.,0
2454,yea definitely learned lesson lock bag amp everything broke zipper,-1,4310,11/16/2020 1:55,1.33e+18,United,"@milamartell @united Yea I definitely learned my lesson. I had a lock on my bag &amp; everything, they broke the zipper",0
2455,imagine super creepy crosses may boundaries top theft,1,4312,11/16/2020 1:53,1.33e+18,United,"@BeautifulNinaxo @united I can imagine, it's super creepy and crosses so may boundaries on top of being theft.",0
2456,feel super violated amp basically zero recourse sucks,-1,4314,11/16/2020 1:51,1.33e+18,United,@SelenaMarquis @united I just feel super violated &amp; I basically have zero recourse. It sucks!,0
2457,someone really broke bag amp stole bag sandals gucci bag amp pair gucci sneakers,-1,4317,11/16/2020 1:49,1.33e+18,United,"Someone from @United really broke into my bag &amp; stole a LV bag, LV sandals, Gucci bag &amp; a pair of Gucci sneakers 💔",0
2458,whole experience professionally handled safe,-1,4318,11/16/2020 1:46,1.33e+18,United,@TheGoalHorn @united @flySFO The whole experience was very professionally handled and safe.,0
2459,ensure never fly united,-1,4319,11/16/2020 1:46,1.33e+18,United,@united Will ensure I never fly United again!,0
2460,flights overbooked employees behave covid fake attitude disgusting,-1,4321,11/16/2020 1:44,1.33e+18,United,@united Your flights were overbooked and your employees behave as if covid is fake!!  Your attitude is disgusting-… https://t.co/jn2KhkLxMQ,0
2461,routes thanksgiving trips jeopardy mexico city,0,4322,11/16/2020 1:41,1.33e+18,United,"Routes: Thanksgiving trips in jeopardy, more Mexico City, @HawaiianAir , @United, @AmericanAir , @flySFO ,… https://t.co/w6nABXAqVo",0
2462,job never appropriate,-1,4323,11/16/2020 1:40,1.33e+18,United,@united “Not mr job” is never appropriate,0
2463,seems like easy value trade dollars lifetime customer would deal day long,-1,4324,11/16/2020 1:39,1.33e+18,United,@toddvernon @united Seems like an easy value trade. $39 dollars for a lifetime customer. I would do that deal all day long.,0
2464,wow looking good thanks getting best angle,1,4325,11/16/2020 1:31,1.33e+18,United,@npbraden @Delta @united @AmericanAir @embraer @iflymia Oh wow— we’re looking good. Thanks for getting our best angle😎,0
2465,hate much highly recommend dont purchase tickets sevent,0,4326,11/16/2020 1:26,1.33e+18,United,"I hate @united so much.  
I HIGHLY recommend that you don't purchase any tickets through them...
this is the SEVENT… https://t.co/TIQkwgrCxz",0
2466,guess shall prepare panic attack whole time sweet,-1,4327,11/16/2020 1:23,1.33e+18,United,"@united @united  I guess I shall prepare for having a panic attack the whole time. 
Sweet 👍",0
2467,drastic situation people trying hard stay safe limit travel,-1,4328,11/16/2020 1:20,1.33e+18,United,@united so during these drastic situation when people are trying hard to stay safe and limit the travel.… https://t.co/Wpmt48x9Fm,0
2468,asked joanie iah term baggage remind folks spread amp said doesnt make announcemen,-1,4330,11/16/2020 1:06,1.33e+18,United,@united - I asked Joanie @ IAH term B baggage to remind folks to spread out &amp; she said she doesn’t make announcemen… https://t.co/kTp9nH6bRd,0
2469,sure ready yet,-1,4332,11/16/2020 1:01,1.33e+18,United,@WanderWilbury @united @flySFO Not sure I am ready for that yet!,0
2470,first covidfree flight nyc london takes week,-1,4333,11/16/2020 1:01,1.33e+18,United,.@united's first #Covid-free flight from NYC to London takes off this week https://t.co/aG95JnuHeR,0
2471,nonprofit organizations donate causes matter days get involved donate online check,0,4334,11/16/2020 1:00,1.33e+18,United,"•56 nonprofit organizations. Donate to causes that matter. 

•17 days to get involved:
*Donate online or by check t… https://t.co/e61Y1HyqOX",0
2472,taking first flight since february mexico feeling safe excited unitedairlines united,-1,4336,11/16/2020 0:59,1.33e+18,United,Taking my first flight since February to Mexico. Feeling very safe and excited! #UnitedAirlines #united @united… https://t.co/xjTYeMdmcr,0
2473,email wasnt sent checked spam told representative also email,-1,4337,11/16/2020 0:54,1.33e+18,United,@united An email wasnt sent. I checked my spam as I was told by your representative and also my email,0
2474,morning traffic beingunited,0,4338,11/16/2020 0:53,1.33e+18,United,The only morning traffic I’m ok with. 💙✈️✈️💙 @weareunited @united @DENAirport #beingunited https://t.co/xCSC80EY3O,0
2475,operate first covidfree flight london monday travel,-1,4340,11/16/2020 0:43,1.33e+18,United,.@united to operate first Covid-19-free flight between #NY and #London on Monday  https://t.co/koyoJWrVor #travel… https://t.co/X2q3aeOeyO,0
2476,bought one time passes got error message tried went,-1,4341,11/16/2020 0:29,1.33e+18,United,@united I just bought 2 one time passes and I got an error message so I tried again and it went through. But now I… https://t.co/yMwDGALQja,0
2477,nonstop denver colorado cancun mexico roundtrip travel janmay dates,0,4342,11/16/2020 0:23,1.33e+18,United,"Non-stop from #Denver, Colorado to Cancun, Mexico for only $216 roundtrip with @United #Travel (Jan-May dates)… https://t.co/PcDoYd5qWJ",0
2478,luck,-1,4343,11/16/2020 0:17,1.33e+18,United,@rwang0 @united Luck!!,0
2479,gave talk met ate oyster boy,-1,4344,11/16/2020 0:09,1.33e+18,United,"On 3/13/2020, I gave a talk at @NCATSUAggies, met up w/ @MatsonSteve at @CarolinaInn, ate oyster po’ boy at… https://t.co/00AADwsGOH",0
2480,asshole,-1,4345,11/16/2020 0:08,1.33e+18,United,@ericwil34891131 @united Then do it asshole,0
2481,somewhere elsedumbass,-1,4346,11/16/2020 0:08,1.33e+18,United,@SpreadTheNudes @united Then go somewhere else...dumbass,0
2482,leave,-1,4347,11/16/2020 0:07,1.33e+18,United,@Kristabeth2 @united @SouthwestAir @UnitedAirHelp @UnitedAirlines_ Then leave 🙂,0
2483,yes itinerary changed email text received today checked spam nothing mad,-1,4350,11/16/2020 0:03,1.33e+18,United,"@united Yes my itinerary was changed, I have no email but the text i received today checked spam and nothing. I mad… https://t.co/pobHVgzI2u",0
2484,memory goldfish comes remembering seat assignment flight,-1,4351,11/16/2020 0:01,1.33e+18,United,I have the memory of a goldfish when it comes to remembering my seat assignment for a flight @united,0
2485,houston texas lima peru roundtrip amp travel janmar dates,0,4352,11/15/2020 23:59,1.33e+18,United,"#Houston, Texas to Lima, Peru for only $313 roundtrip with @United &amp; @CopaAirlines #Travel (Jan-Mar dates)… https://t.co/DXU8P5xbtH",0
2486,changed seats placing husband center row filled flight cap,-1,4353,11/15/2020 23:58,1.33e+18,United,@united They changed our seats placing my husband and I each in the center of a row.  They filled the flight to cap… https://t.co/h0SrbI1iq5,0
2487,even pandemic times mess,-1,4356,11/15/2020 23:40,1.33e+18,United,Even during pandemic times @united can mess sh**  up🤔🤔😑😑,0
2488,indeed narcissistic racist bigoted liar completely useless done absolutely nothing,-1,4358,11/15/2020 23:25,1.33e+18,United,@BMeiselas Indeed. And a narcissistic racist bigoted liar who is completely useless and has done absolutely nothing… https://t.co/3b5BfcOOI8,0
2489,doctors recommend,1,4359,11/15/2020 23:21,1.33e+18,United,4 out of 5 doctors recommend @united,0
2490,new air would also need water humidity,-1,4360,11/15/2020 23:19,1.33e+18,United,@WSharaC @united @AmericanAir @SouthwestAir The new air would also need water for humidity...,0
2491,sounds like youve flying private jets long,1,4361,11/15/2020 23:14,1.33e+18,United,@rwang0 @Boeing @united @flySFO Sounds like you've been flying private jets too long. 😸,0
2492,hey hire revamp entire infrastructure fucking awful remove absolu,-1,4362,11/15/2020 23:13,1.33e+18,United,". @united hey, hire me to revamp your entire infrastructure because it is fucking awful. I can remove 30% of absolu… https://t.co/L96K10Xy4M",0
2493,hopefully seats still class comfortable get empty seat next,-1,4363,11/15/2020 23:03,1.33e+18,United,"@rwang0 @united Hopefully the seats are still 1st class comfortable, and you get an empty seat next to you.",0
2494,museveni uganda killing people moroto support kyagulanyi robert ssentamu,-1,4366,11/15/2020 22:50,1.33e+18,United,Museveni if Uganda is killing people in moroto because they support Kyagulanyi Robert Ssentamu @KamalaHarris… https://t.co/3LQHRHEl5l,0
2495,lot need get rid pogba gea simple,-1,4367,11/15/2020 22:49,1.33e+18,United,@JonnyMc1 @united You lot just need to get rid of Pogba and De Gea simple.,0
2496,currently filling middle seats heard last week,-1,4368,11/15/2020 22:49,1.33e+18,United,"@merreyum @united @AlaskaAir is not currently filling middle seats, heard this last week",0
2497,,-1,4370,11/15/2020 22:46,1.33e+18,United,@united I did,0
2498,really mate top player seems getting better better doubt would happen,-1,4371,11/15/2020 22:46,1.33e+18,United,"@ToppingDuncan @united Not really mate, top player and seems to be getting better and better. Doubt would happen wi… https://t.co/SO3Zl2OiSl",0
2499,safe flights,0,4372,11/15/2020 22:45,1.33e+18,United,@rwang0 @united Safe flights!,0
2500,every time get beat next six months,-1,4373,11/15/2020 22:41,1.33e+18,United,@JonnyMc1 @united Every time you get beat in the next six months,0
2501,year old son loves fly due sever autism,0,4375,11/15/2020 22:32,1.33e+18,United,"@SouthwestAir @AlaskaAir @united @Delta @HawaiianAir Our 19 year old son loves to fly, but due to his sever autism… https://t.co/HIZVU6mvBF",0
2502,hey guess flight crew charlotte newark doesnt care mask policy,-1,4376,11/15/2020 22:30,1.33e+18,United,Hey @united  guess the flight crew from charlotte to Newark doesn't care about the mask policy.,0
2503,pandemic remember helped spread covid,1,4377,11/15/2020 22:29,1.33e+18,United,When this pandemic is over I will remember that @jetblue @delta and @united only helped to spread Covid by being en… https://t.co/yeqbWl2Qb4,0
2504,nonstop losangeles orlando florida amp vice versa roundtrip travel febmar,0,4378,11/15/2020 22:22,1.33e+18,United,"Non-stop from #LosAngeles to #Orlando, Florida (&amp; vice versa) for only $116 roundtrip with @United #Travel (Feb-Mar… https://t.co/uNvKXXUfhF",0
2505,one willing help keep pushing one person another,-1,4379,11/15/2020 22:18,1.33e+18,United,@united I have and no one is willing to help me. They keep pushing me from one person to another.,0
2506,except every plane completely packed smaller planes put tight spot,-1,4381,11/15/2020 22:11,1.33e+18,United,@united Except you have every plane completely packed and your smaller planes put us in a very tight and spot.,0
2507,hey need better bags dulles plane landed min ago,-1,4382,11/15/2020 22:06,1.33e+18,United,Hey @united need to do better with bags at Dulles from a plane that landed 40min ago,0
2508,customer support impossible get passagers flight frustated,-1,4383,11/15/2020 21:58,1.33e+18,United,@united ...and the customer support is impossible to get. All passagers from my flight is frustated and will not tr… https://t.co/tnt96TEoQB,0
2509,youre going practice social distancing least let know buy tickets,0,4384,11/15/2020 21:56,1.33e+18,United,@united if you're not going to practice social distancing at least let us know before we buy tickets.,0
2510,feeling abandaned united airlines scheduled flight ord den delayed today several hou,-1,4385,11/15/2020 21:56,1.33e+18,United,@united feeling abandaned by united airlines. My scheduled flight from ord to den was delayed today for several hou… https://t.co/WULHgcKa8J,0
2511,,-1,4386,11/15/2020 21:51,1.33e+18,United,@united @AmericanAir @Delta @SouthwestAir @FlyFrontier @SpiritAirlines @SunCountryAir @AlaskaAir @CapeAir… https://t.co/uCOCAX7P4e,0
2512,folks dmd survey link well replying issue,1,4387,11/15/2020 21:48,1.33e+18,United,The folks over at @united DM'd me a survey link on how well they did in replying to my issue. I did what they did a… https://t.co/De7wkpRaEK,0
2513,announce jack grealish,0,4388,11/15/2020 21:45,1.33e+18,United,Announce Jack Grealish @united,0
2514,united tried add mileage plus multiple times get free membership,-1,4389,11/15/2020 21:44,1.33e+18,United,@Clear I am a United 1k.  I have   Tried to add my Mileage plus # multiple times to get my free membership.  Again… https://t.co/Xs8B1hVjjJ,0
2515,newsflash flying version cruel unusual save wonderful flight crew thank guys,1,4390,11/15/2020 21:40,1.33e+18,United,"Newsflash: Flying is now a version of cruel and unusual, save for my wonderful @united flight crew (thank you guys!… https://t.co/0Os9oHMlRg",0
2516,three blaring election oddities nobody deny saying goes ohio goes goes nation ohi,-1,4392,11/15/2020 21:30,1.33e+18,United,"Three Blaring Election Oddities that Nobody Can Deny...
As the saying goes, “As Ohio goes, so goes the nation.” Ohi… https://t.co/bcAkr7q0ZS",0
